Cab	Cca	Cdm	Cw	Cs	N	rho_thermal	tau_thermal	Vcmo	m	Type	kV	Rdparam	Tparam	fqe	spectrum	rss	rs_thermal	cs	rhos	lambdas	LAI	hc	zo	d	LIDFa	LIDFb	leafwidth	z	Rin	Ta	Rli	p	ea	u	Ca	Oa	rb	Cd	CR	CD1	Psicor	CSSOIL	rbs	rwc	startDOY	endDOY	LAT	LON	timezn	tts	tto	psi	SMC	Tyear	beta	kNPQs	qLs	stressfactor	Cant	BSMBrightness	BSMlat	BSMlon	BallBerry0	
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      15.044     264.895    1012.000      12.822       1.577     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      15.116     264.968    1012.000      12.964       1.968     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      15.130     264.491    1012.000      12.991       1.862     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      15.008     264.557    1012.000      12.973       2.010     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      14.816     264.102    1011.138      12.916       2.352     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      14.452     263.250    1011.000      12.861       2.493     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      14.285     263.658    1011.000      12.860       2.620     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      14.065     264.164    1011.000      12.821       2.430     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       0.000      14.071     265.301    1011.000      12.735       2.457     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
      80.000      20.000       0.012       0.009       0.000       1.400       0.010       0.010      60.000       8.000       0.000       0.640       0.015       0.200       0.010       1.000     500.000       0.060    1180.000    1800.000       1.550       3.000       2.000       0.246       1.340      -0.350      -0.150       0.100      10.000       9.553      13.889     265.620    1010.710      12.533       2.826     380.000     209.000      10.000       0.300       0.350      20.600       0.200       0.010      10.000       0.000     169.000     170.000      52.250       5.690       1.000      85.000       0.000      90.000       0.250      15.000       0.507       0.000       1.000       1.000       0.000       0.500      25.000      45.000       0.010
